 * Serving Flask app 'server'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5050
 * Running on http://192.168.1.4:5050
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [02/May/2026 14:55:30] "GET /api/results?contest_slug=weekly-contest-499&threshold=50 HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:35] "OPTIONS /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:35] "OPTIONS /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:35] "OPTIONS /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:35] "OPTIONS /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:36] "POST /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:36] "POST /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:36] "POST /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:38] "POST /api/submission_code HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:56] "GET /api/contests HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:56] "GET /api/contests HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:03:56] "GET /api/contests HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:04:12] "GET /api/results?threshold=98&contest_slug=biweekly-contest-181 HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:04:12] "GET /api/results?threshold=100&contest_slug=biweekly-contest-181 HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:04:12] "GET /api/results?threshold=83&contest_slug=biweekly-contest-181 HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:04:12] "GET /api/results?threshold=79&contest_slug=biweekly-contest-181 HTTP/1.1" 200 -
127.0.0.1 - - [02/May/2026 15:04:12] "GET /api/results?threshold=87&contest_slug=biweekly-contest-181 HTTP/1.1" 200 -
